gene_name,unstranded
IFNL3,0
PCBP2,4619
ZGPAT,257
SLC25A29,1477
PGAP1,3569
SRC,1971
ZNF679,3
ZNF682,388
OR8B8,0
ZNF772,671
ZNF257,236
PCNX3,5226
ADAM32,81
ACSL5,1809
LRRC8B,3012
AC107956.1,63
ABCB8,2767
H3C12,0
SND1,9823
OR4C4P,0
ZNF785,622
SULT1A2,3
NEK5,45
PSMD12,3875
AL672167.1,0
MAGEA6,0
LINC02291,0
ADGRA1,288
CH17-340M24.3,280
PIWIL2,35
MIRLET7BHG,133
NOL4L,1038
SSXP1,0
CYSRT1,67
SLC22A4,326
AP000550.1,0
ZSCAN5B,4
TCEA1P1,0
ENTPD4,4155
C1D,1032
TBC1D9B,20163
OR1J2,0
H4C11,1
SLC2A7,0
FAM110D,279
SERPINA1,8285
LINC00336,1
TPSB2,3
AP000445.1,0
KANK2,4752
EIF4BP6,57
C6orf141,331
GTF2E2,1217
IL27,32
GUCA2A,1
RAD54B,67
ZNF165,52
SYNGAP1,2733
RAMP2-AS1,102
FITM2,2576
BLM,199
HMGA2-AS1,1
ZNF720,886
GATA3-AS1,24
OR10D3,0
DDI2,2310
AC060834.1,4
SVIL,3877
C17orf102,221
TRIM33,3105
LRP10,19897
PELI1,4472
AC008543.1,4
Metazoa_SRP,0
ZNF655,3425
MRPL21,836
LYPD2,1
UAP1L1,2921
BNIP3P1,11
ZNF98,41
FBXL22,33
ZNF786,496
ZNF517,966
S100A7L2,1
ZNF675,514
SLC22A5,847
AC089987.1,3
DACT3,520
ADARB1,3337
ZNF860,10
HTT,11674
OR6N1,1
C5AR1,2502
DIO3,46
CYP2B6,0
H3C4,0
DCHS2,222
VEPH1,47
FABP12,1
SHPK,197
GGT3P,0
OR51D1,0
IPP,1115
OPALIN,28
OR13G1,0
MAP3K5,4525
OGDHL,647
CYP2F1,5
GSTK1,7000
HNRNPAB,4140
OR2L5,1
STMN3,1510
PDGFA,762
AC003975.1,0
GYPE,15
COL13A1,54
AC073648.1,0
SPN,530
ZNF695,15
ADAM3A,0
AC034105.1,0
PCDHB11,37
ZNF628,171
GALP,1
SLC2A10,1652
ZNF665,197
RPF2,1975
LINC00477,2
SLC28A3,4
FAM177B,500
MIB2,2114
OR6Y1,0
MYO5A,6222
IRF1-AS1,751
GZMM,81
ATG7,3333
PRAMENP,2
AL359955.1,1
SIPA1L1,3693
TTC30A,825
SSPOP,586
ELANE,10
RAB40C,1467
PIGN,2647
COL4A6,1673
ZNF624,401
HHLA3,664
RPS17P2,1
HOXA4,1
TOPORS,1957
BCO2,135
GPX1P1,174
KCNMB2,33
AC068051.1,2
ENTPD6,7666
DMBX1,17
KLKP1,2
OR11L1,0
ENPP1,530
ATP11AUN,0
CCDC154,41
FAR1,3849
CPLANE1,2605
ZNF841,943
MFAP5,5
MYH6,0
VN1R5,0
ZNF615,613
EOLA1,462
CDC42SE1,7874
UBE2Q2P12,0
MPEG1,2934
SERPINB2,399
DPP4,317
SERPINB13,0
AC106870.1,0
PDCD1LG2,1257
ZNF433,143
CCER1,0
DNAH10,346
SLC22A24,1
AC007952.1,0
AL157838.1,41
OR51C1P,0
KRTAP26-1,0
CBX3P7,0
SPTAN1,39219
NMB,2194
PARVA,1257
KLHL14,9
OR6C74,0
FAM114A1,3871
RPE,2238
ZNF460,70
CR1L,6
PHF2,4069
RPS26,4629
C14orf178,1
PTMAP2,20
SCGB1D4,0
PSAP,358122
S100A10,9830
CFAP43,131
LHFPL5,23
RPL37A,18035
HOXC6,0
TXNRD3,643
CFD,1201
STPG3,6
MAP1LC3C,30
MCMBP,3029
EME2,544
KLHDC1,268
ZNF81,1161
TAF13,2166
ZNF780A,736
ATAD3A,1067
OR5B17,0
OR52M1,0
IGKV7-3,0
FAM118B,1810
ZNF461,491
AC011450.1,16
AC122129.1,104
CCDC180,136
SLC9A8,4950
OCLN,90
CFAP299,1
H4-16,34
CYP2A13,1
ZNF181,1117
SLC22A20P,19
OR8G1,0
INKA2,1572
ZNF44,716
GPAA1,6382
ADAMTSL2,3123
SGTB,2722
ZNF790,619
OR5M12P,0
PRB3,0
CYRIA,2302
MYO1C,5809
MDS2,1
OR7E13P,1
NKIRAS1,1134
OR1S2,0
UGT2B17,5
MEIG1,18
SLC22A12,1
KIF13B,5705
NRAP,30
ADH5,9693
SLC22A6,5
H2BC12,737
TEAD4,1131
SPG7,5657
HRNR,10
IFNA1,0
HES5,3
NBEAP2,44
ZNF677,674
ERO1A,4216
ZNF823,289
CYYR1-AS1,8
ZNF311,133
ZNF347,651
OR5H2,0
PLCG2,3686
FCHSD1,577
ZNF71,400
AADACL2,0
S100A6,30839
RPL12,13115
DNM3,2522
ZNF121,1008
MPZL1,9561
VPS13A,2307
MBP,8470
AKAP17A,2168
AKAP17A,0
ELOVL2,160
GOLGA6L9,89
LEKR1,61
C1orf122,2668
OR51A8P,0
SNHG12,625
ZNF734P,1
AL592490.1,0
CLEC9A,79
KEL,20
NOL8,2501
IRAK4,1590
CCDC151,236
DLGAP2,42
MRPL42,1394
ENTPD7,853
FCGR1B,720
SPANXA1,0
SAGE2P,0
ZNF335,1445
ZNF560,456
TUBA3C,1
RPS4X,29834
ZNF273,290
ZNF84,2718
MAK16,954
ZNF667,279
AVPR1B,1
SIRPA,17352
DSCR8,0
GRK6,1314
PRIM1,240
MARCHF5,3478
POTEH,0
NPIPB13,7
AKR1B10,32
SULT1C4,2738
CYP2A7,0
ZBTB14,1118
KRTAP9-9,0
CD2AP,3168
NUP62CL,21
SFI1,1051
KRTAP4-6,0
TMPRSS11F,24
ZNF649,619
ADH4,25
OR2T6,2
ZNF248,853
AC025279.1,1
CHSY3,498
TOR4A,1448
LPAR1,3901
MB,3
OR2L3,2
DEFB107B,0
HIBCH,2489
ZNF544,593
TMEM229B,4449
PTMAP9,10
SOWAHC,1454
ZNF770,1139
ZNF849P,6
ZNF876P,29
NPIPB6,11
HMGN5,829
MIER1,3121
MAN1A2,5442
SVIP,585
ZNF251,1028
DDRGK1,3384
FAM47C,0
TFDP1,4890
CLEC4C,3
ZNF607,309
BPIFA1,0
ZNF334,946
HSD17B11,2796
SZT2,4160
SULT1C2,142
ZXDA,313
RPS6KL1,431
AC092143.1,0
CACNA1E,101
OR51H2P,0
QRICH1,4876
AFDN-DT,12
CSF2RA,4529
CSF2RA,0
FKBP1C,21
DDX42,9050
GUSBP13,8
RPL23A,2693
SLC29A3,1486
CYP2A7P2,0
STYX,1240
UBL5,4941
OR5BB1P,0
HELZ,5408
TMEM116,251
KRTAP4-5,0
UCKL1,1473
AC021146.1,0
OR5B21,0
NUP210P1,1
CARD11,2249
ZNF485,165
PEG3,96
SDAD1,3153
BMS1P9,1
ZKSCAN8,3739
PHETA1,783
TMEM239,3
HYLS1,153
MYL4,14
ZNF442,126
ZNF813,288
HOXC4,182
DCAF12L2,0
PIM3,1588
GET3,4838
AL354714.1,0
ASPH,16781
OR7A11P,0
SPRED2,3208
WWP2,3400
GFPT1,4981
UVRAG,1903
KRTAP13-1,0
ZNF26,1201
TMEM207,0
ITSN2,3455
NTRK1,129
BZW1P2,23
OGA,11092
TATDN2P1,0
ZNF658B,60
MT1F,132
TCAF1,2033
ZNF69,319
TXNRD1,5644
NRARP,106
ZNF583,331
KRTAP4-1,1
CCT8L2,1
OR14L1P,0
ZNF568,999
LINC02692,0
ZXDB,858
ZNF480,578
ZNF587,588
TPM2,1113
FLVCR1-DT,218
RTP2,0
SH3BGRL2,1575
ZNF808,187
ANKRD35,482
B3GNT6,2
AC007920.1,57
YTHDF2,3791
NBR2,585
TMA16,836
HLA-DRB5,58660
ATL1,1464
CNGA1,7
MAFK,951
ARMH1,103
ZNF43,955
GPN1,2280
PLN,345
PABPC1P2,0
C2CD4A,49
ZNF28,876
ITGBL1,12
ZNF511,122
C20orf203,7
ZNF627,687
KCNRG,5
WDHD1,515
AC133561.1,0
ZNF789,532
CTNND1,953
DDX39B,5361
SLC34A3,10
RD3,1
SPANXC,0
SH2D1B,68
ARC,782
AC073343.1,96
NUDT16,6794
TLK1,4802
LRBA,3836
C3orf35,25
ZNF536,91
MMP17,156
OR2M2,0
BAZ1A,2378
AKR1C4,71
COPS8,8309
PPIAP22,862
CCDC69,1375
MDM4,1732
RYR2,33
ZNF534,20
KLHL9,3283
FAM3D,8
NCOA6,6168
STK39,3010
TAT,3
ABHD17AP1,12
C6orf89,17489
CALM1,19350
LPA,6
AC135895.1,0
TAFA2,221
OR10G6,0
TTC37,8763
OR5BS1P,0
TUSC1,457
MAGEA1,0
PAPSS2,1762
LINC01565,0
SLC9A6,3549
FAN1,1363
ABCA4,33
EIF1AY,0
MT-ND6,65508
IPO9,13584
OR10R3P,0
GPX6,0
CEP290,1297
SSBP3-AS1,18
MT-CO2,209899
GLMP,1611
TOGARAM1,2048
DLL1,336
ANKRD13B,567
ECI2,1741
UNC13B,4731
TEX45,3
MT-CYB,145283
LDB1,5070
PPP1R14C,757
CTR9,3366
SMOC1,938
F5,134
MSRB1,1413
SMIM11P1,0
LRRTM3,2002
ZNF652,2505
SMURF1,2004
SLC5A3,6756
MTCO3P12,86
GPATCH3,1110
CDC42BPB,8073
PLXNB3,1594
OXCT2,10
RPL10A,11362
COLGALT2,6346
EPS8L3,6
EGFL6,30
MT-ND2,140896
SYCP1,0
APCDD1L,2
RCSD1,6421
RASSF9,21
FAM169A,1235
ZNF830,1047
GRIN3A,660
MT-ND5,180047
OR7E103P,0
MUC2,3
CNOT7,4954
TMEM184B,5107
MTOR,5911
SCAMP5,4590
ZNF521,1019
ALPK2,1340
BRINP2,438
MAGEB3,1
LRIG2,1621
MT-CO1,688041
PNP,988
PAX9,13
LRRC10,1
GK,585
FOXJ3,4781
ZNF358,1412
SFT2D1,3093
CD247,297
GRM3,91
CHAMP1,2270
INPP5F,1698
ARHGAP11A,180
SUCNR1,47
HMGN2,4430
SELENOM,338
UBE2J1,4388
GJC2,186
OPA1,4495
DENND4B,4880
RYR3,1889
ZNF277,1005
MT-ND3,57967
KTI12,204
STYXL2,713
SELENOT,9453
ARHGEF15,319
TOX,1576
CES1,18
CD3E,724
RUSC2,2868
C1orf68,0
FICD,1094
OSTC,3712
HSD3BP5,8
R3HDM4,2325
TSEN15,1660
LTN1,2386
RUNDC1,1648
CCDC152,40
MTND4LP30,3
STKLD1,73
GRK5,1127
TYW1,1203
DCAF12,5012
SFMBT2,8691
ASB12,18
PNMA5,19
ITPRIPL1,562
MT-ND4,353013
SMC5,7059
MT-ND1,135955
DCAF12L1,0
PRMT6,1331
SHISA4,2143
CIPC,2092
CAPZA2,11325
MT-ATP6,135448
TOP1,6760
PRC1,5
BHLHB9,5
MAP3K3,2742
L1CAM,122
SREBF2,11770
C1orf174,1270
POU3F3,3303
RASGEF1A,835
SPOUT1,16
RPL39,2133
DZIP3,3116
KIAA0753,942
AC011611.1,0
DCLRE1A,895
ATG9A,2783
NOS1AP,1212
CSAG1,34
APRT,2656
GPRASP1,425
TBKBP1,1156
MAGEE1,605
CCDC167,1330
MT-CO3,223713
ZFP2,249
SOWAHA,38
L3MBTL3,443
DMD,3631
MFAP3L,3507
NAGA,7630
SMG5,8982
KIFBP,3424
TGM2,3327
ARMCX6,1748
PJA2,19840
RORB,1015
SGMS1,2246
OR10R2,0
OR10Z1,0
MIRLET7E,0
MIR375,0
MIR30E,0
MIRLET7A2,0
MIR429,0
MIR380,0
MIR449A,0
MIR345,2
MIR16-2,0
MIR340,0
MIR107,0
MIR448,0
MIR370,0
MIR412,0
MIR377,0
MIR1-1,0
MIR381,0
MIR339,1
MIR103A2,0
MIR369,0
MIRLET7C,2
MIR371A,0
MIR425,1
MIR103A1,0
MIR219A1,7
MIR210,1
MIR335,0
MIR378A,0
MIR361,0
MIR324,1
MIR135B,0
MIR101-2,0
MIR323A,0
MIRLET7F1,0
MIR26A1,0
MIR129-2,1
MIR133B,0
MIR342,0
MIR148A,0
MIR379,0
MIR326,0
MIR410,0
MIR30C2,0
MIR372,0
MIR302C,0
MIR346,0
MIR409,0
MIR411,0
MIR26B,0
MIR148B,0
MIR383,0
MIR365A,0
MIR450A1,0
MIRLET7D,0
MIR101-1,0
MIR373,0
MIR302D,0
MIRLET7G,0
MIR337,0
MIR30D,0
MIR422A,0
MIR208A,0
MIR96,0
MIR126,8
MIRLET7A1,0
MIR374A,0
MIR367,0
MIR331,4
MIR31,0
MIRLET7I,0
AL160394.1,0
RN7SKP72,0
Y_RNA,0
Y_RNA,0
RNA5SP289,0
Y_RNA,0
Y_RNA,0
RNU105C,0
RNU6-1123P,0
RN7SKP184,0
RNU6-500P,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RNU6-50P,0
AC069285.1,0
RNU6-834P,2
RNA5SP46,1
Y_RNA,0
Y_RNA,0
RNU6-896P,0
RNU6-28P,0
RNU6-664P,0
RNU6-874P,0
Y_RNA,0
SNORA60,0
RNA5S12,0
RNU6-349P,0
Y_RNA,0
RNA5SP26,0
RNU6-661P,0
AL356754.1,0
RNU1-58P,0
Y_RNA,0
RNU6-1094P,0
RNU6-502P,1
Y_RNA,0
Y_RNA,0
SNORA21,0
RNU6-1312P,0
RNA5SP430,0
RNU6-208P,0
Y_RNA,0
RNU6-858P,0
RNU6-222P,0
SNORD115-34,0
RNU4-82P,1
RNA5SP347,0
RNA5SP52,0
RN7SKP25,0
AL512272.1,0
RNA5SP183,0
RNU4-39P,4
RNU6-1298P,0
RNU6-230P,0
Y_RNA,1
Y_RNA,0
RNA5S11,0
RNU6-204P,0
RNA5S3,0
RNU5E-1,0
RNU6-766P,0
Y_RNA,2
RNA5SP432,0
RNA5S1,0
RNA5SP273,0
Y_RNA,0
RNU6-1115P,0
RNU1-150P,0
Y_RNA,0
SNORA63E,0
RNA5SP327,0
Y_RNA,0
RNU6-1084P,0
U3,0
RNA5SP453,1
RNU5F-1,1
Y_RNA,0
RNU6-79P,0
RNU6-369P,1
SNORD114-7,0
AC124254.1,0
RNU6-600P,0
RNA5SP93,0
RNA5S5,0
Y_RNA,1
RNY4P19,0
RNA5SP308,0
SNORA1B,0
RNA5SP301,0
Y_RNA,0
Y_RNA,0
SNORD62,0
RNA5SP370,0
RN7SKP170,0
VTRNA3-1P,0
Y_RNA,0
RNU1-108P,0
SNORD9,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RNU6-543P,0
RNU6-845P,0
RNA5SP276,0
SNORD115-12,0
RNA5SP388,0
RNA5SP191,0
RNU4-35P,0
Y_RNA,0
RNU6-1216P,0
Y_RNA,1
Y_RNA,1
RNU6-556P,0
RNU1-62P,0
AC011891.1,0
Y_RNA,3
Y_RNA,0
SNORA63,0
AC092324.1,0
RN7SKP104,0
Y_RNA,17
SNORA31,4
RNA5SP389,0
RNU6-633P,0
RNU4-15P,0
Y_RNA,0
RNU1-70P,0
SNORD115-25,0
Y_RNA,2
RNU6-1313P,1
RNU1-94P,2
RNU6-247P,0
RNA5SP110,0
RNA5SP477,2
RNU6-212P,0
RNU6-235P,0
Y_RNA,0
Y_RNA,0
RNU6-386P,0
RNA5SP226,0
RNA5SP295,0
RNU6-462P,0
Y_RNA,2
RNA5SP305,0
RNU6-315P,1
Y_RNA,0
RNA5SP195,1
Y_RNA,0
Y_RNA,1
RNU6-545P,0
SNORA63,0
RNA5SP361,0
RNU6-37P,2
RNA5SP502,0
Y_RNA,0
AC008083.1,0
Y_RNA,0
RNU5A-1,0
RNU6-228P,0
AC121336.1,2
RNA5SP174,0
SNORD18C,0
SNORD114-1,0
RNU6-822P,0
Y_RNA,0
Y_RNA,0
RNA5SP119,0
Y_RNA,1
RNA5SP321,0
SNORD114-14,0
RNU6-1301P,0
Y_RNA,0
RNU6-859P,0
RNU6-562P,0
RNU6-951P,0
RNY4P24,0
RNA5SP124,0
RNA5SP258,0
RN7SKP20,0
RNU6-989P,0
RNU6-1010P,0
RNU1-14P,0
Y_RNA,1
SNORD33,0
SNORA63,0
RNU4-79P,0
Y_RNA,0
Y_RNA,0
RNA5SP319,0
RN7SKP294,0
RNU4-90P,0
RNU6-1330P,0
RNU6-1272P,0
RNU1-35P,0
RNU6-1266P,0
SNORD3G,0
Y_RNA,1
Y_RNA,0
RNU4-21P,1
SNORD16,0
RNU6-862P,0
Y_RNA,1
Y_RNA,0
RN7SKP185,0
RNU1-38P,1
RN7SKP173,6
RNU6-1128P,0
RNU6-446P,1
Y_RNA,0
RNU6-223P,0
Y_RNA,0
RNU6-170P,0
SNORD115-29,0
Y_RNA,0
RNU4-23P,0
Y_RNA,0
Y_RNA,0
SNORD115-2,0
U8,0
Y_RNA,1
Y_RNA,0
RN7SKP74,2
RNU6-655P,0
RN7SKP95,1
RNU6-1079P,0
Y_RNA,0
RNA5SP307,1
RNU6-227P,0
RNU6-552P,0
Y_RNA,0
SNORD36A,0
Y_RNA,0
SNORD104,23
Y_RNA,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RNU6-363P,0
RNU6-78P,0
RNA5SP426,0
RNU1-76P,0
Y_RNA,0
Y_RNA,0
SNORD115-9,0
AL049759.1,0
RNU6-1287P,0
SNORA52,0
RNA5SP188,0
SNORA80C,0
RNY3P2,0
RNU6-836P,0
RNU6-451P,0
RNU6-1233P,0
RNU6-924P,0
Y_RNA,0
SNORD114-5,0
Y_RNA,0
RNU6-1159P,0
RNA5SP383,10
RNU1-134P,0
RNA5SP491,0
RNA5SP374,0
RNU6-428P,0
RNU6-1260P,0
AC034186.1,0
RNU6-199P,0
RNU6-1290P,0
RN7SKP291,0
Y_RNA,0
SNORD115-21,0
RNU1-47P,3
RNA5SP150,0
Y_RNA,0
RNA5SP358,0
RNA5SP375,0
RNU1-72P,0
RNU5F-6P,0
U3,0
RNU6-490P,0
U3,0
AC096743.1,0
RNU6-1120P,0
RNU6-582P,0
Y_RNA,0
RNU6-495P,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RNU6-942P,0
RNA5SP452,0
Y_RNA,0
RN7SKP149,0
RNVU1-22,0
RNU6-888P,0
Y_RNA,0
RN7SKP90,0
Y_RNA,0
RNU6-330P,0
RNU6-249P,1
Y_RNA,5
RNU1-17P,0
AC093872.1,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RNU6-1273P,0
RNU6-492P,0
RNU5B-2P,3
RNA5S10,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
SNORD114-16,0
RNU4-44P,0
RNU6-161P,0
RNU6-1252P,0
AC025614.1,0
RNA5SP405,0
RNU1-18P,0
RNY1P16,3
SNORD81,0
Y_RNA,0
Y_RNA,0
RN7SKP75,0
SNORD114-19,0
RNU6-653P,0
Y_RNA,0
RNA5SP443,0
AL359273.1,2
SNORD115-14,0
SNORD1B,0
Y_RNA,0
RNU6-605P,0
Y_RNA,0
SNORD115-19,0
SNORD115-3,0
RNU6-797P,0
RN7SKP243,0
SNORA73,1
Y_RNA,0
RNA5SP264,0
RNU6-486P,0
VTRNA1-1,1
RNA5SP145,0
RNU6-986P,0
Y_RNA,1
Y_RNA,0
RNU6-623P,1
RNA5SP448,0
Y_RNA,0
U8,0
RNA5SP98,0
RNU6-642P,0
RNU6-403P,1
RNU4-73P,0
RNA5SP65,1
Y_RNA,0
Y_RNA,1
RN7SKP115,0
RNU6-812P,0
Y_RNA,1
AC011399.1,0
Y_RNA,0
RN7SKP63,0
RNA5SP218,0
Y_RNA,1
Y_RNA,0
RNU4-58P,0
AC061992.1,0
RNY4P9,0
Y_RNA,0
RNU4-80P,0
AL138691.1,0
AC022973.1,0
RNA5SP326,0
SNORD68,0
Y_RNA,0
RNU6-433P,0
SNORA73B,4
SNORD114-31,0
Y_RNA,18
RN7SKP163,2
RNU6-181P,3
RNU6-1167P,0
RNU6-508P,0
RNU6-252P,0
RNU6-251P,0
RNU6-984P,0
RNU6-1249P,0
RNU6-774P,0
AC012157.1,0
AC078843.1,0
RNA5SP123,1
Y_RNA,0
Y_RNA,0
Y_RNA,0
RN7SKP77,0
RNU6-1021P,0
Y_RNA,0
RNY1P10,0
RNU6-778P,0
Y_RNA,0
RNU6-544P,0
AL132709.1,0
RN7SKP231,0
RNU6-216P,0
RNU6-23P,0
RNU5B-1,0
RN7SKP145,0
Y_RNA,0
SNORD115-18,0
Y_RNA,2
RNA5SP350,0
RNU5D-1,0
Y_RNA,7
Y_RNA,0
Y_RNA,0
RNU6-1309P,0
RNU1-19P,0
Y_RNA,0
RNU6-238P,0
RNU1-20P,0
RNU6-832P,0
U8,0
RNU1-21P,0
RN7SKP211,0
Y_RNA,1
RNU1-22P,1
AC016180.1,0
Y_RNA,0
Y_RNA,0
RNY4P27,0
RNU6-992P,0
SNORD113-6,0
RNU6-745P,0
RNU6-839P,0
RNU6-697P,0
RNU6-179P,0
U3,0
RNU6-626P,0
RNA5SP382,4
RNA5SP197,1
RNU1-23P,0
AC116353.1,1
SNORA70,1
RNA5SP133,0
Y_RNA,1
RN7SKP79,0
RNA5SP263,0
RNU6-254P,0
RNA5SP214,0
RNU6-1147P,0
Y_RNA,0
RNU6-529P,23
RNU6-536P,0
Y_RNA,0
RNU6-97P,0
SNORD35A,0
Y_RNA,0
Y_RNA,0
RNU6-66P,0
RNU6-838P,0
RNU4-32P,0
RNA5SP199,0
RNA5SP352,0
SNORD114-10,0
RNU6-624P,0
Y_RNA,0
Y_RNA,0
AC026355.1,0
Y_RNA,0
RNA5SP393,0
AL607035.1,0
RNU6-527P,0
RNU1-83P,0
Y_RNA,0
RNA5SP483,0
RNU6-940P,0
RNU6-1255P,1
Y_RNA,0
Y_RNA,0
RNA5SP215,0
RN7SKP255,0
RNA5-8SP7,0
Y_RNA,0
SNORD3P1,0
SNORA63,0
Y_RNA,0
RNA5SP391,0
RNA5SP62,0
RNU6-183P,0
Y_RNA,1
Y_RNA,0
RNA5SP333,0
RNU1-49P,0
RNU1-105P,0
RNA5S8,0
Y_RNA,0
RNU6-485P,0
RNU6-1285P,1
Y_RNA,0
SNORA71D,0
SNORA72,0
RNU6-833P,5
RNU6-792P,2
Y_RNA,0
RNU6-511P,0
SNORD113-8,0
RNU6-666P,0
RNA5S17,0
RNU5E-8P,1
RNU5E-10P,1
AC012501.1,0
RNU5B-4P,4
RN7SKP45,0
RNA5S4,0
AL136296.1,0
RNU6-618P,0
RNU6-509P,0
Y_RNA,0
Y_RNA,0
RNU6-698P,0
SNORA38B,0
Y_RNA,0
SNORD115-24,0
RNU6-1099P,4
SNORD114-23,0
RNU6-1169P,0
RNA5SP74,0
RNA5SP346,0
SNORD114-26,0
SNORA63B,0
Y_RNA,0
Y_RNA,0
AL590229.1,0
RNU6-1155P,0
Y_RNA,0
Y_RNA,1
RNU4-81P,0
Y_RNA,0
RNA5-8SP2,0
Y_RNA,0
RNU6-799P,0
RNU6-1066P,0
RNU6-1339P,0
RNU6-1085P,1
Y_RNA,0
RNU6-1112P,0
RNU6-1097P,0
RNU6-727P,0
SNORD118,0
RNA5SP403,0
RNU6-112P,0
RNU6-1125P,0
RN7SKP44,2
RNA5SP507,2
RN7SKP162,0
SNORD115-41,0
SNORD114-28,0
RNU6-1017P,1
RNU6-1244P,0
Y_RNA,0
SNORD115-11,0
RNA5SP322,0
RN7SKP203,0
U3,0
Y_RNA,0
RNU6-1205P,0
U8,0
Y_RNA,3
SNORD115-5,0
Y_RNA,0
Y_RNA,0
RNA5SP378,0
RNU6-1214P,0
Y_RNA,0
RNU6-957P,0
RNU6-1209P,1
RNY4P14,0
RNA5SP457,0
RNU6-1331P,0
SNORD35B,0
SNORA33,28
AL137790.1,0
RNY4P6,1
U3,0
Y_RNA,0
U3,0
Y_RNA,0
RNU6-137P,3
Y_RNA,0
Y_RNA,0
RNU6-1020P,0
RNU6-525P,0
RNU6-103P,0
RNA5SP429,0
RNU6-288P,0
RNU6-640P,0
SNORD115-39,0
RNU5F-7P,0
RNU6-829P,0
RNU6-1284P,0
Y_RNA,0
RNU6-414P,0
Y_RNA,0
RNA5SP514,0
Y_RNA,0
SNORD115-33,0
RNU6-824P,0
RNVU1-33,0
Y_RNA,0
RNA5SP50,0
Y_RNA,0
SNORD114-11,0
Y_RNA,1
SNORD114-25,0
RNA5SP349,0
Y_RNA,0
Y_RNA,0
RNA5SP447,0
AC112497.1,0
RNU6-1059P,0
SNORD18A,0
RNA5S6,0
RNA5SP325,0
RNY1P11,2
Y_RNA,0
SNORD113-7,0
Y_RNA,0
SNORD114-27,0
RNU5F-3P,0
SNORD115-37,0
RNU6-1210P,0
Y_RNA,0
RNU6-226P,8
RNA5SP114,0
Y_RNA,0
AC136611.1,0
RNU4-92P,0
SNORA5B,0
SNORD116-10,0
Y_RNA,0
RNU6-1188P,0
RNU6-912P,0
RN7SKP174,0
RN7SKP160,3
SNORD18,0
SNORD115-4,0
RNU6-263P,0
RNU6-379P,1
Y_RNA,1
RNY3P3,0
RNA5SP335,0
Y_RNA,0
U3,1
RNU6-674P,0
Y_RNA,0
RNU6-873P,0
AL033518.1,0
RN7SKP93,0
RNA5SP27,0
RNA5SP28,6
RNU6-682P,0
Y_RNA,15
RN7SKP103,0
RNA5SP260,2
RNU6-931P,0
SNORD115-8,0
RNU6-271P,0
RNU1-124P,1
RNU6-194P,0
AL355821.1,0
Y_RNA,6
RNA5SP472,0
RNA5SP161,1
Y_RNA,2
RNU1-31P,0
Y_RNA,0
Y_RNA,0
AC004130.1,0
Y_RNA,0
RNA5SP68,0
RNU6-236P,0
SNORD115-16,0
RNU6-884P,2
RN7SKP113,0
RNU6-961P,0
Y_RNA,0
Y_RNA,7
RNU6-478P,0
RNU6-105P,0
RN7SKP180,0
SNORD8,0
RNA5SP234,0
Y_RNA,2
RNU1-65P,1
RNU6-631P,0
SNORA80A,1
RN7SKP250,0
RNU4-1,0
RNU6-753P,1
RNU6-770P,0
RNU1-130P,0
SNORD115-28,0
RNA5SP275,0
RNU1-32P,0
SNORD115-6,0
RNU6-595P,1
RNU6-1091P,2
SNORA38,3
RNU6-899P,0
RNU6-1204P,0
Y_RNA,0
SNORD114-2,0
RNU6-324P,0
Y_RNA,0
RN7SKP134,0
SNORD36B,0
SNORD114-4,0
Y_RNA,0
RNA5SP48,0
RNU6-82P,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RNA5SP499,0
Y_RNA,0
Y_RNA,0
Y_RNA,0
RN7SKP36,0
RNU6-457P,0
RNU6-810P,0
RNA5SP456,0
RNA5SP399,0
Y_RNA,0
RNU6-340P,0
RNU6-560P,0
SNORD14E,11
RNU6-681P,0
Y_RNA,0
Y_RNA,0
RNU1-146P,1
RNU6-598P,0
Y_RNA,0
RNU4-13P,0
RNA5SP99,0
AC063965.1,0
RNU6-944P,0
RN7SKP245,0
AC009774.1,0
RNU6-1243P,0
RNU6-627P,0
RNU1-42P,0
RNU6-854P,1
SNORD46,0
RNA5SP435,0
RNU6-553P,1
Y_RNA,0
RNU6-1048P,2
RNU6-960P,0
RNU6-1090P,0
RNU6-694P,0
RNU6-501P,0
SNORD115-32,0
Y_RNA,1
RNU6-801P,0
SNORA74A,1
RNU6-289P,0
RN7SKP87,0
AL158154.1,0
RNU5A-8P,0
RNU4-87P,0
RNU1-7P,0
Y_RNA,0
Y_RNA,0
SNORA3A,0
RNA5SP493,1
RNU6-819P,0
SNORD115-30,0
AC012291.1,0
RNVU1-34,0
Y_RNA,0
AC107390.1,0
RNA5SP516,0
RNU6-270P,0
AL049745.1,1
Y_RNA,0
AC009365.1,0
RN7SKP224,0
Y_RNA,0
Y_RNA,1
RNA5SP232,0
RNU6-280P,0
RNU6-374P,0
RNU6-743P,0
RNY3P11,0
SNORD74B,1
Y_RNA,0
RN7SKP107,0
RNU6-151P,0
Y_RNA,0
RNU6-704P,0
RNU1-96P,0
Y_RNA,0
RNA5SP469,0
AL132709.2,0
